,macro-P,macro-R,Macro-F1
lr,0.5961214626714568,0.5372227790184543,0.47870237174162833
svm,0.5887522359572191,0.5407309022783442,0.4777018517170116
dt,0.608588663907,0.5355250204366772,0.4823233583131844
rf,0.5887522359572191,0.5407309022783442,0.4777018517170116
gbt,0.608588663907,0.5355250204366772,0.4823233583131844
